num,located,located2,moni_address,lon,lat,stat,st_code,pm2_5,geom,pm10,o3,no2,co,so2
249,충북,진천읍,충북 진천군 진천읍 상산로 65 읍내리 370-1 진천읍사무소 옥상,127.4412732,36.85498237,정좌표,043,34,0101000020E61000007BA6F2D13DDC5F403EE7F20F706D4240,73,0.111,0.014,0.6,0.003
282,부산,화명동,부산광역시 북구 용당로16번길 22 장미원 (화명동),129.0089209,35.23289031,정좌표,051,22,0101000020E610000007B87B1449206040AE808459CF9D4140,59,0.094,0.012,-1,-1
393,경남,함양읍,경상남도 함양군 함양읍 고운로 35 함양군청 민원봉사과 옥상,127.7245571,35.5202403,정좌표,055,13,0101000020E61000006A25BE245FEE5F40D647F13B97C24140,44,0.074,0.01,0.3,0.003
317,대구,태전동,대구 북구 태전동 1076-5 (태암초등학교)(칠곡중앙대로 52길 56) 태암초등학교 남관 4층 옥상,128.5508201,35.92506393,인근좌표,053,29,0101000020E6100000586F7951A01160409507AF7E68F64140,64,0.098,0.017,0.5,0.003
62,경기,본오동,경기 안산시 상록구 각골길 75 본오2동행정복지센터,127.9618361,35.07068573,인근좌표,031,20,0101000020E61000002E6700B98EFD5F406B52E13A0C894140,61,0.088,0.024,0.4,0.002
67,경기,부림동,경기 안양시 동안구 시민대로 235 안양시청 민원실,126.9577126,37.39439354,정좌표,031,40,0101000020E6100000E5FDC9294BBD5F40DF06CE7C7BB24240,89,0.081,0.027,0.5,0.005
56,경기,백석읍,경기 양주시 백석읍 꿈나무로 199 꿈나무도서관,126.9872761,37.79236815,정좌표,031,28,0101000020E6100000D66718882FBF5F402E52CD516CE54240,80,0.104,0.012,0.5,0.005
92,경기,연천,경기 연천군 연천읍 차현로 58 연천군청 지역경제과,127.0762768,38.09646984,정좌표,031,29,0101000020E6100000635C16B8E1C45F40D8ECAB1F590C4340,78,0.107,0.008,0.5,0.005
66,경기,부곡동1,경기 안산시 상록구 성호로 326 부곡동 행정복지센터,126.861092,37.33178834,정좌표,031,27,0101000020E610000039B69E211CB75F4040BF520A78AA4240,88,0.087,0.019,0.4,0.005
104,경기,원시동,경기 안산시 단원구 산단로 112 근로복지관 민주노총,126.7885109,37.30529399,정좌표,031,34,0101000020E610000088026CF676B25F40915B9BDF13A74240,106,0.081,0.041,0.5,0.005
91,경기,양평읍,경기도 양평군 양평읍 마유산로 17 양평군보건소 옥상,127.486681,37.49703536,정좌표,031,22,0101000020E61000006AA510C825DF5F40EA13CCDA9EBF4240,52,0.085,0.012,0.4,0.003
26,경기,가남읍,경기도 여주시 가남읍 태평중앙1길 20 가남읍행정복지센터 옥상,127.5448773,37.20166023,정좌표,031,50,0101000020E61000004CF50945DFE25F407E609E00D0994240,92,0.119,0.012,0.4,0.004
95,경기,오산동,경기 오산시 경기동로 51 오산고용복지플러스센터,127.0773162,37.15888305,정좌표,031,25,0101000020E6100000DD9CA5BFF2C45F40C2D19F4756944240,68,0.101,0.015,0.4,0.003
98,경기,와부읍,경기도 남양주시 와부읍 도곡길 7 덕소중학교 후관동 옥상,127.2270733,37.58086262,정좌표,031,39,0101000020E6100000DE52735E88CE5F40372FD2B459CA4240,97,0.106,0.023,0.5,0.003
119,경기,진접읍,경기도 남양주시 진접읍 금강로 1509-26 진접오남행정복지센터 옥상,127.1898614,37.72632699,정좌표,031,32,0101000020E610000075F16DB026CC5F4045206648F8DC4240,95,0.076,0.018,0.4,0.003
